MJD	Frequency(GHz)	Fluxdensity(mJy)	error(mJy)
59574.76	13.7	25.248	0.067
59574.76	16.5	26.955	0.061
59574.76	31.1	42.236	0.34
59574.76	34.9	47.137	0.35
			
59588.66	2.6	24.59	0.16
59588.66	3.4	22.702	0.14
59588.66	5.1	18.554	0.06
59588.66	7	18.619	0.051
59588.66	13.7	21.6	0.051
59588.66	16.5	22.164	0.053
59588.66	31.1	26.488	0.1
59588.66	34.9	27.475	0.11
			
59590.61	2.6	24.388	0.21
59590.61	3.4	22.617	0.11
59590.61	5.1	19.794	0.062
59590.61	7	19.169	0.052
59590.61	13.7	21.908	0.051
59590.61	16.5	22.994	0.047
59590.61	31.1	28.341	0.11
59590.61	34.9	29.746	0.12
			
59595.61	2.6	23.163	0.16
59595.61	3.4	20.742	0.13
59595.61	5.1	17.488	0.056
59595.61	7	17.871	0.057
59595.61	13.7	20.702	0.05
59595.61	16.5	21.855	0.048
59595.61	31.1	27.116	0.11
59595.61	34.9	28.356	0.11
			
60034.47	2.6	3.295	0.17
60034.47	3.4	3.342	0.12
60034.47	5.1	2.765	0.052
60034.47	7	2.347	0.049
60034.47	13.7	1.672	0.05
60034.47	16.5	1.526	0.051
60034.47	31.1	0.87	0.1
60034.47	34.9	0.862	0.11
			
60049.34	2.6	2.777	0.17
60049.34	3.4	2.82	0.078
60049.34	5.1	2.684	0.053
60049.34	7	2.373	0.046
60049.34	13.7	1.67	0.048
60049.34	16.5	1.541	0.048
60049.34	31.1	1.077	0.11
60049.34	34.9	1.113	0.12
			
60131.12	2.6	1.808	0.017
60131.12	3.4	1.999	0.014
60131.12	5.1	2.163	0.016
60131.12	7	2.336	0.018
60131.12	13.7	1.933	0.02
60131.12	16.5	1.923	0.022
60131.12	31.1	1.336	0.066
60131.12	34.9	1.306	0.079
